word1,word2,label1,label2,sim_value
dress,skirt,n,n,44.0
sun,sunny,n,j,44.0
lily,tulip,n,n,44.0
grave,gravestone,n,n,44.0
bright,sunny,j,j,44.0
dandelion,plant,n,n,44.0
light,sunlight,n,n,44.0
hill,mountain,n,n,43.0
burger,food,n,n,43.0
sea,shore,n,n,43.0
feather,peacock,n,n,43.0
child,mother,n,n,43.0
night,sunset,n,n,43.0
orange,peel,j,n,43.0
subway,train,n,n,43.0
camera,lens,n,n,43.0
daisy,petal,n,n,43.0
aircraft,wing,n,n,43.0
bloom,flower,n,n,43.0
clothes,jacket,n,n,43.0
dinner,restaurant,n,n,43.0
swim,swimming,v,n,43.0
cemetery,gravestone,n,n,43.0
cigarette,smoke,n,n,43.0
shirt,skirt,n,n,43.0
baby,pregnant,n,j,43.0
cherry,fruit,n,n,43.0
beef,meat,n,n,43.0
blossom,daffodil,n,n,43.0
bloom,blossom,n,n,43.0
maple,oak,n,n,43.0
frost,winter,n,n,43.0
colour,pink,n,j,43.0
dog,poodle,n,n,43.0
lantern,light,n,n,43.0
coast,sea,n,n,43.0
tunnel,underground,n,j,43.0
dog,pet,n,n,43.0
hair,haircut,n,n,43.0
day,sunset,n,n,43.0
bikini,swimsuit,n,n,43.0
rail,railway,n,n,43.0
art,museum,n,n,43.0
painting,portrait,n,n,43.0
dress,wedding,n,n,43.0
poodle,puppy,n,n,43.0
port,ship,n,n,43.0
bloom,tulip,n,n,43.0
cold,winter,j,n,43.0
bakery,cake,n,n,43.0
building,roof,n,n,43.0
iron,steel,n,n,43.0
bird,stork,n,n,43.0
lily,plant,n,n,43.0
eat,food,v,n,43.0
bathroom,kitchen,n,n,43.0
jazz,music,n,n,43.0
fabric,wool,n,n,43.0
aquarium,tank,n,n,43.0
fire,flame,n,n,43.0
bloom,rose,n,n,43.0
leaf,nature,n,n,43.0
town,village,n,n,43.0
apple,orange,n,j,43.0
dawn,sunrise,n,n,43.0
engine,gasoline,n,n,43.0
oak,tree,n,n,43.0
guitar,piano,n,n,43.0
chocolate,dessert,n,n,43.0
cat,paw,n,n,43.0
bird,goose,n,n,43.0
blue,sky,j,n,43.0
pool,swim,n,v,43.0
bracelet,necklace,n,n,42.0
fruit,salad,n,n,42.0
egg,nest,n,n,42.0
boat,sailing,n,n,42.0
bird,crow,n,n,42.0
bird,flamingo,n,n,42.0
day,sunshine,n,n,42.0
hockey,sport,n,n,42.0
burger,eat,n,v,42.0
fruit,raspberry,n,n,42.0
lunch,sandwich,n,n,42.0
foot,toe,n,n,42.0
baby,mother,n,n,42.0
amphibian,frog,n,n,42.0
burn,fire,v,n,42.0
hockey,ice,n,n,42.0
cold,frozen,j,j,42.0
oak,wood,n,n,42.0
photographer,photography,n,n,42.0
man,woman,n,n,42.0
hair,redhead,n,n,42.0
harbor,port,n,n,42.0
pug,puppy,n,n,42.0
sunrise,sunset,n,n,42.0
leather,shoe,n,n,42.0
beach,shore,n,n,42.0
color,red,n,j,42.0
paint,painting,v,n,42.0
storm,wind,n,n,42.0
color,violet,n,n,42.0
rain,wet,n,j,42.0
diner,eat,n,v,42.0
bed,bedroom,n,n,42.0
guitar,musician,n,n,42.0
petal,rose,n,n,42.0
rail,subway,n,n,42.0
holiday,vacation,n,n,42.0
bed,sleep,n,v,42.0
cigarette,smoking,n,n,42.0
airplane,plane,n,n,42.0
daffodil,plant,n,n,42.0
diner,kitchen,n,n,42.0
coin,silver,n,n,42.0
cake,chocolate,n,n,42.0
evening,night,n,n,42.0
race,racing,n,n,42.0
flight,fly,n,v,42.0
face,lip,n,n,42.0
berry,raspberry,n,n,42.0
lamp,light,n,n,42.0
bird,nest,n,n,42.0
mother,pregnant,n,j,42.0
animal,pet,n,n,42.0
butterfly,insect,n,n,42.0
sky,sunrise,n,n,42.0
canine,husky,j,n,42.0
food,meat,n,n,42.0
cloud,sky,n,n,42.0
crow,feather,n,n,42.0
blossom,flower,n,n,42.0
splash,swim,n,v,42.0
band,musician,n,n,42.0
cactus,plant,n,n,42.0
eagle,hawk,n,n,42.0
harbour,sea,n,n,42.0
flower,foliage,n,n,42.0
red,violet,j,n,42.0
music,sing,n,v,42.0
breakfast,morning,n,n,42.0
cafe,restaurant,n,n,42.0
beach,coast,n,n,42.0
puddle,splash,n,n,42.0
bird,pelican,n,n,42.0
clothes,sock,n,n,42.0
amphibian,lizard,n,n,41.0
daughter,son,n,n,41.0
car,motor,n,n,41.0
amphibian,reptile,n,n,41.0
day,morning,n,n,41.0
aircraft,fly,n,v,41.0
airplane,airport,n,n,41.0
metro,train,n,n,41.0
band,music,n,n,41.0
shadow,sunlight,n,n,41.0
night,sleep,n,v,41.0
salad,soup,n,n,41.0
porch,roof,n,n,41.0
eye,tear,n,n,41.0
colour,rainbow,n,n,41.0
berry,fruit,n,n,41.0
red,yellow,j,j,41.0
sock,stocking,n,n,41.0
flamingo,hummingbird,n,n,41.0
tree,twig,n,n,41.0
kiss,lip,n,n,41.0
burger,sandwich,n,n,41.0
pregnant,woman,j,n,41.0
rain,weather,n,n,41.0
dinner,eat,n,v,41.0
feather,hawk,n,n,41.0
animal,zoo,n,n,41.0
duck,mallard,n,n,41.0
mountain,valley,n,n,41.0
beach,harbour,n,n,41.0
musician,rock,n,n,41.0
band,guitar,n,n,41.0
car,garage,n,n,41.0
foot,leg,n,n,41.0
sky,sunlight,n,n,41.0
mist,rain,n,n,41.0
mother,son,n,n,41.0
airplane,wing,n,n,41.0
colour,red,n,j,41.0
music,musician,n,n,41.0
bay,beach,n,n,41.0
blonde,redhead,j,n,41.0
petal,plant,n,n,41.0
kitchen,room,n,n,41.0
lingerie,sexy,n,j,41.0
automobile,parking,n,n,41.0
bar,restaurant,n,n,41.0
bedroom,room,n,n,41.0
bus,taxi,n,n,41.0
fun,happy,n,j,41.0
station,train,n,n,41.0
pelican,stork,n,n,41.0
black,grey,j,j,41.0
orange,yellow,j,j,41.0
foliage,petal,n,n,41.0
park,parking,n,n,41.0
lip,tongue,n,n,41.0
fog,misty,n,j,41.0
canine,poodle,j,n,41.0
bath,wash,n,v,41.0
foliage,tree,n,n,41.0
panorama,view,n,n,41.0
bloom,daisy,n,n,41.0
escalator,stair,n,n,41.0
petal,tulip,n,n,41.0
fishing,sea,n,n,41.0
beef,cattle,n,n,41.0
noodle,rice,n,n,41.0
bird,parrot,n,n,41.0
fruit,orange,n,j,41.0
mural,painting,n,n,41.0
airport,flight,n,n,41.0
shopping,store,n,n,41.0
summer,sunny,n,j,41.0
road,sidewalk,n,n,41.0
airplane,fly,n,v,41.0
guitar,music,n,n,40.0
cat,whisker,n,n,40.0
family,friend,n,n,40.0
bloom,petal,n,n,40.0
musician,piano,n,n,40.0
dirty,wash,j,v,40.0
elephant,giraffe,n,n,40.0
puppy,terrier,n,n,40.0
breakfast,kitchen,n,n,40.0
subway,underground,n,j,40.0
sand,shore,n,n,40.0
butterfly,dragonfly,n,n,40.0
cheetah,lion,n,n,40.0
color,yellow,n,j,40.0
door,lock,n,v,40.0
bright,sunlight,j,n,40.0
van,vehicle,n,n,40.0
orange,red,j,j,40.0
beetle,insect,n,n,40.0
kid,mom,n,n,40.0
daughter,mother,n,n,40.0
child,school,n,n,40.0
giraffe,zebra,n,n,40.0
harbor,harbour,n,n,40.0
lamb,sheep,n,n,40.0
heart,love,n,n,40.0
lily,rose,n,n,40.0
asphalt,road,n,n,40.0
morning,sunny,n,j,40.0
coast,shore,n,n,40.0
sunny,sunset,j,n,40.0
nest,twig,n,n,40.0
happy,smile,j,n,40.0
figure,skating,n,n,40.0
rail,train,n,n,40.0
door,wall,n,n,40.0
dawn,sun,n,n,40.0
feather,stork,n,n,40.0
morning,sunshine,n,n,40.0
building,construction,n,n,40.0
cafe,coffee,n,n,40.0
bloom,bud,n,n,40.0
jacket,leather,n,n,40.0
map,travel,n,n,40.0
plant,seed,n,n,40.0
city,metro,n,n,40.0
pebble,sand,n,n,40.0
cafe,lunch,n,n,40.0
coast,harbour,n,n,40.0
dog,pug,n,n,40.0
sky,sun,n,n,40.0
mallard,swan,n,n,40.0
cloud,rain,n,n,40.0
sky,sunshine,n,n,40.0
frost,weather,n,n,40.0
cherry,raspberry,n,n,40.0
downtown,street,j,n,40.0
bloom,dandelion,n,n,40.0
dragonfly,insect,n,n,40.0
bottle,wine,n,n,40.0
feel,happy,v,j,40.0
railway,station,n,n,40.0
beach,swimming,n,n,40.0
cafe,diner,n,n,40.0
cafe,pub,n,n,40.0
building,tall,n,j,40.0
burger,meat,n,n,40.0
gold,silver,n,n,40.0
summer,weather,n,n,40.0
military,soldier,j,n,40.0
cemetery,grave,n,n,40.0
pizza,restaurant,n,n,39.0
bright,colour,j,n,39.0
canine,paw,j,n,39.0
swim,underwater,v,j,39.0
sea,swim,n,v,39.0
pub,restaurant,n,n,39.0
day,time,n,n,39.0
canine,terrier,j,n,39.0
bottle,glass,n,n,39.0
bed,relax,n,v,39.0
seed,sunflower,n,n,39.0
bird,owl,n,n,39.0
art,sculpture,n,n,39.0
light,shade,n,n,39.0
apartment,staircase,n,n,39.0
outfit,sock,n,n,39.0
carrot,potato,n,n,39.0
lizard,snake,n,n,39.0
city,sidewalk,n,n,39.0
guitar,rock,n,n,39.0
brick,building,n,n,39.0
eat,soup,v,n,39.0
dew,misty,n,j,39.0
blue,colour,j,n,39.0
dawn,morning,n,n,39.0
cooking,restaurant,n,n,39.0
bay,sea,n,n,39.0
cafe,shop,n,n,39.0
floor,roof,n,n,39.0
clothes,hat,n,n,39.0
marble,stone,n,n,39.0
duck,goose,n,n,39.0
collection,museum,n,n,39.0
happy,love,j,n,39.0
bakery,shop,n,n,39.0
mist,wet,n,j,39.0
blossom,petal,n,n,39.0
bright,light,j,n,39.0
rice,sushi,n,n,39.0
cooking,meat,n,n,39.0
day,night,n,n,39.0
kiss,love,n,n,39.0
stream,waterfall,n,n,39.0
interior,room,n,n,39.0
surf,surfer,n,n,39.0
poodle,terrier,n,n,39.0
cold,frost,j,n,39.0
city,town,n,n,39.0
ocean,underwater,n,j,39.0
harbor,sailing,n,n,39.0
scenery,sunset,n,n,39.0
green,violet,j,n,39.0
harbor,ship,n,n,39.0
summer,sunshine,n,n,39.0
blue,grey,j,j,39.0
art,graphic,n,j,39.0
lake,shore,n,n,39.0
rust,rusty,n,j,39.0
architecture,design,n,n,39.0
goose,swan,n,n,39.0
architecture,construction,n,n,39.0
hawk,nest,n,n,39.0
carrot,salad,n,n,39.0
fruit,tomato,n,n,39.0
purple,violet,j,n,39.0
misty,rain,j,n,39.0
clothes,jean,n,n,39.0
bloom,daffodil,n,n,39.0
brick,construction,n,n,39.0
diner,restaurant,n,n,39.0
ceiling,roof,n,n,39.0
paint,portrait,v,n,39.0
ripple,wave,n,n,39.0
beard,face,n,n,39.0
apple,raspberry,n,n,39.0
fashion,outfit,n,n,39.0
downtown,skyscraper,j,n,39.0
bud,daffodil,n,n,39.0
harbor,shore,n,n,39.0
blonde,hair,j,n,39.0
kitten,paw,n,n,39.0
bay,shore,n,n,39.0
shop,store,n,n,39.0
gravestone,memorial,n,n,38.0
canine,pug,j,n,38.0
crow,hawk,n,n,38.0
dress,outfit,n,n,38.0
city,urban,n,j,38.0
bedroom,door,n,n,38.0
bus,tram,n,n,38.0
spring,summer,n,n,38.0
scenery,waterfall,n,n,38.0
road,traffic,n,n,38.0
hill,valley,n,n,38.0
ceiling,floor,n,n,38.0
splash,water,n,n,38.0
grass,weed,n,n,38.0
sunny,weather,j,n,38.0
parrot,wing,n,n,38.0
daisy,violet,n,n,38.0
copper,silver,n,n,38.0
baseball,hockey,n,n,38.0
pet,poodle,n,n,38.0
blossom,foliage,n,n,38.0
pink,purple,j,j,38.0
grey,shade,j,n,38.0
panorama,scenery,n,n,38.0
downtown,metro,j,n,38.0
beard,hair,n,n,38.0
dandelion,petal,n,n,38.0
blue,violet,j,n,38.0
daisy,flower,n,n,38.0
noodle,soup,n,n,38.0
pet,puppy,n,n,38.0
bud,petal,n,n,38.0
ancient,ruin,j,n,38.0
eye,iris,n,n,38.0
puddle,water,n,n,38.0
harbor,sea,n,n,38.0
painting,sculpture,n,n,38.0
sand,sea,n,n,38.0
feline,kitten,j,n,38.0
bird,swan,n,n,38.0
baseball,game,n,n,38.0
colour,purple,n,j,38.0
pool,splash,n,n,38.0
cattle,sheep,n,n,38.0
landscape,scenery,n,n,38.0
coin,gold,n,n,38.0
boat,shore,n,n,38.0
skyscraper,tall,n,j,38.0
apple,cherry,n,n,38.0
beef,chicken,n,n,38.0
hot,sunny,j,j,38.0
dessert,fruit,n,n,38.0
photographer,portrait,n,n,38.0
chicken,meat,n,n,38.0
ceiling,interior,n,n,38.0
bathroom,bedroom,n,n,38.0
hummingbird,stork,n,n,38.0
motor,vehicle,n,n,38.0
colour,grey,n,j,38.0
blue,orange,j,j,38.0
dawn,dusk,n,n,38.0
building,downtown,n,j,38.0
face,tear,n,n,38.0
boat,harbour,n,n,38.0
cattle,farm,n,n,38.0
drip,wet,v,j,38.0
brown,green,j,j,38.0
bedroom,ceiling,n,n,38.0
bread,eat,n,v,38.0
dinner,evening,n,n,38.0
face,smile,n,n,38.0
bride,dress,n,n,38.0
stone,wall,n,n,38.0
mural,paint,n,v,38.0
foliage,plant,n,n,38.0
day,dusk,n,n,38.0
roof,wall,n,n,38.0
cooking,food,n,n,38.0
photography,portrait,n,n,38.0
bud,foliage,n,n,38.0
lily,pond,n,n,37.0
harbour,shore,n,n,37.0
palm,tree,n,n,37.0
bus,subway,n,n,37.0
holiday,travel,n,n,37.0
skyline,view,n,n,37.0
bedroom,cottage,n,n,37.0
dinner,lunch,n,n,37.0
grave,memorial,n,n,37.0
dessert,sweet,n,j,37.0
bird,insect,n,n,37.0
concert,rock,n,n,37.0
mushroom,tomato,n,n,37.0
metro,railway,n,n,37.0
giraffe,zoo,n,n,37.0
railway,subway,n,n,37.0
misty,weather,j,n,37.0
parrot,pelican,n,n,37.0
bedroom,sleep,n,v,37.0
autumn,summer,n,n,37.0
automobile,truck,n,n,37.0
amphibian,mammal,n,n,37.0
cemetery,memorial,n,n,37.0
orange,purple,j,j,37.0
blue,color,j,n,37.0
daffodil,rose,n,n,37.0
berry,seed,n,n,37.0
hummingbird,mallard,n,n,37.0
dandelion,grass,n,n,37.0
brick,concrete,n,j,37.0
costume,dress,n,n,37.0
cloud,mist,n,n,37.0
sea,tropical,n,j,37.0
brown,grey,j,j,37.0
bathroom,room,n,n,37.0
daisy,plant,n,n,37.0
paint,picture,v,n,37.0
eye,lip,n,n,37.0
autumn,winter,n,n,37.0
drip,rain,v,n,37.0
horizon,sky,n,n,37.0
black,blue,j,j,37.0
metro,station,n,n,37.0
alley,street,n,n,37.0
child,family,n,n,37.0
mountain,scenery,n,n,37.0
concrete,construction,j,n,37.0
mill,windmill,n,n,37.0
summer,winter,n,n,37.0
plant,twig,n,n,37.0
breakfast,lunch,n,n,37.0
concrete,floor,j,n,37.0
rain,sky,n,n,37.0
food,frozen,n,j,37.0
moss,plant,n,n,37.0
flower,spring,n,n,37.0
bird,mallard,n,n,37.0
graphic,illustration,j,n,37.0
eat,fruit,v,n,37.0
ceiling,porch,n,n,37.0
river,valley,n,n,37.0
fog,mist,n,n,37.0
dude,guy,n,n,37.0
moon,sky,n,n,37.0
bar,sushi,n,n,37.0
beauty,scenery,n,n,37.0
feather,mallard,n,n,37.0
furniture,patio,n,n,37.0
light,shadow,n,n,37.0
bay,harbour,n,n,37.0
wash,water,v,n,37.0
flight,owl,n,n,37.0
paw,whisker,n,n,37.0
costume,wig,n,n,37.0
animal,giraffe,n,n,37.0
autumn,foliage,n,n,37.0
animal,cattle,n,n,37.0
building,skyscraper,n,n,37.0
ice,skating,n,n,37.0
meat,potato,n,n,37.0
bud,twig,n,n,37.0
knit,stitch,v,n,37.0
hot,sunshine,j,n,37.0
bed,room,n,n,37.0
music,rock,n,n,37.0
cooking,rice,n,n,37.0
berry,cherry,n,n,37.0
piano,play,n,v,37.0
flower,lily,n,n,37.0
cherry,strawberry,n,n,37.0
clothes,skirt,n,n,37.0
art,painting,n,n,37.0
bird,gull,n,n,37.0
spiral,staircase,n,n,37.0
paw,pet,n,n,37.0
feather,nest,n,n,37.0
feather,owl,n,n,37.0
blossom,cherry,n,n,37.0
goat,sheep,n,n,37.0
green,pink,j,j,37.0
foliage,garden,n,n,37.0
dog,husky,n,n,37.0
feather,hummingbird,n,n,37.0
sunshine,weather,n,n,37.0
snow,weather,n,n,37.0
surfer,wave,n,n,37.0
breakfast,dinner,n,n,37.0
shoe,toe,n,n,37.0
band,play,n,v,37.0
coffee,mug,n,n,37.0
brick,wall,n,n,37.0
fishing,sailing,n,n,37.0
grey,white,j,j,37.0
orange,strawberry,j,n,37.0
color,purple,n,j,37.0
blossom,daisy,n,n,37.0
hawk,owl,n,n,37.0
exhibition,photography,n,n,37.0
morning,night,n,n,37.0
band,concert,n,n,37.0
dress,shirt,n,n,37.0
river,waterfall,n,n,37.0
ceramic,tile,j,n,36.0
cloud,droplet,n,n,36.0
exhibition,sculpture,n,n,36.0
oak,twig,n,n,36.0
movie,television,n,n,36.0
butterfly,hummingbird,n,n,36.0
daisy,grass,n,n,36.0
floor,marble,n,n,36.0
canyon,river,n,n,36.0
decoration,interior,n,n,36.0
flamingo,stork,n,n,36.0
bear,mother,v,n,36.0
moon,sun,n,n,36.0
musician,sing,n,v,36.0
green,red,j,j,36.0
purple,white,j,j,36.0
canine,pet,j,n,36.0
morning,sleep,n,v,36.0
weather,winter,n,n,36.0
sky,sunny,n,j,36.0
jacket,sock,n,n,36.0
blue,red,j,j,36.0
green,grey,j,j,36.0
lily,petal,n,n,36.0
blue,purple,j,j,36.0
goose,mallard,n,n,36.0
hotel,restaurant,n,n,36.0
downtown,urban,j,j,36.0
jean,skirt,n,n,36.0
guy,people,n,n,36.0
birthday,happy,n,j,36.0
chicken,soup,n,n,36.0
fly,wing,v,n,36.0
door,room,n,n,36.0
skyline,skyscraper,n,n,36.0
cheetah,giraffe,n,n,36.0
feline,pet,j,n,36.0
car,parking,n,n,36.0
gull,mallard,n,n,36.0
spring,winter,n,n,36.0
daffodil,spring,n,n,36.0
building,skyline,n,n,36.0
salad,tomato,n,n,36.0
book,write,n,v,36.0
bucket,water,n,n,36.0
lady,sexy,n,j,36.0
ceiling,room,n,n,36.0
puddle,rain,n,n,36.0
costume,outfit,n,n,36.0
hill,scenery,n,n,36.0
bacon,chicken,n,n,36.0
dawn,night,n,n,36.0
cocktail,restaurant,n,n,36.0
daffodil,petal,n,n,36.0
canyon,valley,n,n,36.0
brick,house,n,n,36.0
band,rock,n,n,36.0
book,illustration,n,n,36.0
desk,sit,n,v,36.0
bright,sky,j,n,36.0
autumn,sunny,n,j,36.0
colour,yellow,n,j,36.0
cold,weather,j,n,36.0
blue,green,j,j,36.0
glitter,sunlight,v,n,36.0
drip,water,v,n,36.0
day,misty,n,j,36.0
food,noodle,n,n,36.0
goat,milk,n,n,36.0
pink,yellow,j,j,36.0
floor,interior,n,n,36.0
black,purple,j,j,36.0
door,window,n,n,36.0
city,skyline,n,n,36.0
bear,live,v,v,35.0
art,work,n,n,35.0
pink,violet,j,n,35.0
bath,room,n,n,35.0
dew,rain,n,n,35.0
boy,girl,n,n,35.0
canyon,mountain,n,n,35.0
white,yellow,j,j,35.0
colour,shade,n,n,35.0
banana,cherry,n,n,35.0
mammal,rodent,n,n,35.0
explosion,fire,n,n,35.0
shore,swim,n,v,35.0
cloud,misty,n,j,35.0
sit,stand,v,v,35.0
glitter,gold,v,n,35.0
black,white,j,j,35.0
light,neon,n,n,35.0
machine,wash,n,v,35.0
coffee,dinner,n,n,35.0
feather,flamingo,n,n,35.0
downtown,sidewalk,j,n,35.0
cooking,eat,n,v,35.0
feline,paw,j,n,35.0
crow,gull,n,n,35.0
festival,music,n,n,35.0
dirt,road,n,n,35.0
gull,pelican,n,n,35.0
carrot,tomato,n,n,35.0
blossom,tree,n,n,35.0
restaurant,shop,n,n,35.0
cherry,grape,n,n,35.0
automobile,racing,n,n,35.0
jazz,piano,n,n,35.0
hawk,pelican,n,n,35.0
baseball,play,n,v,35.0
bloom,plant,n,n,35.0
ceiling,wall,n,n,35.0
beef,potato,n,n,35.0
breakfast,restaurant,n,n,35.0
black,colour,j,n,35.0
bright,glitter,j,v,35.0
hummingbird,nest,n,n,35.0
feline,whisker,j,n,35.0
beach,holiday,n,n,35.0
sailing,shore,n,n,35.0
design,graphic,n,j,35.0
music,track,n,n,35.0
air,cold,n,j,35.0
dessert,eat,n,v,35.0
chocolate,strawberry,n,n,35.0
dinner,night,n,n,35.0
dusk,sunrise,n,n,35.0
boat,sink,n,v,35.0
beef,cooking,n,n,35.0
jacket,jean,n,n,35.0
computer,lab,n,n,35.0
downtown,skyline,j,n,35.0
fun,game,n,n,35.0
ivy,tree,n,n,35.0
nest,wasp,n,n,35.0
garden,pumpkin,n,n,35.0
curl,haircut,v,n,35.0
eat,meat,v,n,35.0
outfit,skirt,n,n,35.0
bacon,beef,n,n,35.0
skyscraper,tower,n,n,35.0
splash,wash,n,v,35.0
daffodil,foliage,n,n,34.0
garden,patio,n,n,34.0
metro,subway,n,n,34.0
beach,scenery,n,n,34.0
photographer,wedding,n,n,34.0
floor,room,n,n,34.0
purple,yellow,j,j,34.0
guitar,sing,n,v,34.0
petal,yellow,n,j,34.0
bead,necklace,n,n,34.0
black,brown,j,j,34.0
dessert,strawberry,n,n,34.0
beef,lamb,n,n,34.0
bread,potato,n,n,34.0
fishing,harbour,n,n,34.0
pug,terrier,n,n,34.0
evening,time,n,n,34.0
office,table,n,n,34.0
cat,lick,n,v,34.0
building,interior,n,n,34.0
crochet,stitch,n,n,34.0
spring,sunshine,n,n,34.0
concert,jazz,n,n,34.0
cooking,soup,n,n,34.0
shade,sun,n,n,34.0
tall,tower,j,n,34.0
pepper,salad,n,n,34.0
strawberry,tomato,n,n,34.0
fruit,peel,n,n,34.0
scenery,skyline,n,n,34.0
green,yellow,j,j,34.0
brown,orange,j,j,34.0
colour,orange,n,j,34.0
harbour,ship,n,n,34.0
violet,yellow,n,j,34.0
sport,swimming,n,n,34.0
friend,happy,n,j,34.0
blue,pink,j,j,34.0
blossom,orange,n,j,34.0
rail,station,n,n,34.0
potato,salad,n,n,34.0
interior,wall,n,n,34.0
hawk,hummingbird,n,n,34.0
cliff,coast,n,n,34.0
feather,wing,n,n,34.0
brown,yellow,j,j,34.0
raspberry,sweet,n,j,34.0
concert,sing,n,v,34.0
art,craft,n,n,34.0
bloom,foliage,n,n,34.0
chicken,rice,n,n,34.0
cherry,orange,n,j,34.0
blossom,fruit,n,n,34.0
animal,wild,n,j,34.0
line,railway,n,n,34.0
roof,tile,n,n,34.0
concert,piano,n,n,34.0
potato,rice,n,n,34.0
cloud,sunshine,n,n,34.0
marble,statue,n,n,34.0
frozen,meat,j,n,34.0
band,punk,n,n,34.0
insect,reptile,n,n,34.0
building,staircase,n,n,34.0
bed,breakfast,n,n,34.0
bloom,lily,n,n,34.0
blonde,girl,j,n,34.0
jean,outfit,n,n,34.0
bread,cooking,n,n,34.0
flower,violet,n,n,34.0
peel,skin,n,n,34.0
dessert,diner,n,n,34.0
art,exhibition,n,n,34.0
jacket,shirt,n,n,34.0
brown,purple,j,j,34.0
floor,patio,n,n,34.0
downtown,highway,j,n,34.0
purple,red,j,j,34.0
dragonfly,frog,n,n,33.0
mammal,monkey,n,n,33.0
mist,morning,n,n,33.0
feather,gull,n,n,33.0
gull,stork,n,n,33.0
dusk,morning,n,n,33.0
guitar,play,n,v,33.0
bloom,violet,n,n,33.0
